"","latitude","longitude","elevation","aspect","slope","meso_rel","class","browsing_index","bio1","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","elevation_aws_wgs84","slope_aws_wgs84","northness_aws_wgs84","eastness_aws_wgs84","tri_aws_wgs84","hli_aws_wgs84","twi_aws_wgs84","tpimeso_aws_wgs84","treeheight","elevation_srtm_wgs84","slope_srtm_wgs84","northness_srtm_wgs84","eastness_srtm_wgs84","tri_srtm_wgs84","hli_srtm_wgs84","tpi_srtm_wgs84","class_code"
"T1S2S1300",-41.57915,-71.55254,1316,190,34,"irreg","Subalpine forest","no_use",6.04700994491577,11.517707824707,0.661410212516785,982.365661621094,169.816955566406,28.1961574554443,51.8871955871582,421.796630859375,112.59294128418,112.59294128418,421.796630859375,11.104437828064,49.0930938720703,439.593231201172,18.7975273132324,-3.82153248786926,22.6190586090088,0.661410212516785,11.517707824707,1351.21423339844,38.5964736938477,-0.960933208465576,-0.274459034204483,24.7511749267578,0.490183979272842,4.49350690841675,19.5795459747314,21.6277160644531,1229.06750488281,17.5042304992676,-0.911137759685516,0.28698205947876,802.9609375,0.379724770784378,188.799255371094,9
"T1S2S1400",-41.57763,-71.55526,1390,225,20,NA,"Subalpine forest","no_use",5.89291048049927,11.3550176620483,0.51867687702179,979.281677246094,170.068634033203,27.8699359893799,52.079833984375,421.555847167969,111.925682067871,111.925682067871,421.555847167969,11.0628652572632,49.0421714782715,438.898345947266,18.6139755249023,-3.94384145736694,22.5578174591064,0.51867687702179,11.3550176620483,1416.88671875,21.4797439575195,-0.771353125572205,-0.634402692317963,13.8836889266968,0.715820610523224,5.30364608764648,8.55226039886475,20.7622356414795,1261.36987304688,17.4029388427734,-0.779485702514648,0.28842905163765,785.969482421875,0.403391629457474,174.790710449219,9
"T1S2S1500",-41.57473,-71.56197,1494,220,16,NA,"Subalpine forest","no_use",5.44264030456543,10.8770618438721,0.0876679793000221,975.099609375,170.566589355469,26.9029178619385,52.8297576904297,424.031799316406,110.181228637695,110.181228637695,424.031799316406,10.9504289627075,48.8993072509766,437.295104980469,18.0638294219971,-4.32930660247803,22.3931350708008,0.0876679793000221,10.8770618438721,1515.37243652344,20.8529186248779,-0.934011459350586,-0.347713232040405,12.2047090530396,0.628018915653229,4.11797761917114,9.96274185180664,4.94599628448486,1355.45166015625,12.9555225372314,-0.907270908355713,0.168208569288254,644.931518554688,0.451485127210617,183.828735351562,9
"T1S2S1600",-41.57013,-71.56674,1600,205,15,NA,"Subalpine forest","no_use",4.99816179275513,10.4140434265137,-0.345381230115891,968.51953125,172.0556640625,26.1023788452148,53.5958099365234,424.216888427734,107.93138885498,107.93138885498,424.216888427734,10.8527688980103,48.7653350830078,435.905395507812,17.5435733795166,-4.71146631240845,22.2550392150879,-0.345381230115891,10.4140434265137,1615.56921386719,18.9311027526855,-0.880348324775696,-0.443926811218262,11.473949432373,0.667641282081604,5.73832702636719,7.92158126831055,1.03976142406464,1438.017578125,8.09150314331055,-0.886629104614258,0.175973311066628,499.177978515625,0.479480713605881,144.258010864258,9
"T1S3N1000",-41.61695,-71.40291,994,45,31,"flat","Shrubland","moderate",6.75631999969482,12.3521242141724,1.1829229593277,916.833312988281,161.045166015625,26.411190032959,55.5179061889648,408.001922607422,100.226303100586,100.226303100586,408.001922607422,11.6295747756958,49.610969543457,452.061737060547,19.9807739257812,-3.46034502983093,23.4411182403564,1.1829229593277,12.3521242141724,1022.88891601562,26.9443531036377,0.933590471744537,0.313961148262024,16.6013412475586,0.872254192829132,3.37124419212341,-9.72965812683105,2.81750082969666,1073.96142578125,9.58271026611328,0.512971818447113,0.554220974445343,450.981323242188,0.55412757396698,-68.9797286987305,3
"T1S3N1100",-41.6184,-71.40494,1090,45,39,"flatcx","Shrubland","moderate",6.49492311477661,12.0736904144287,0.939849376678467,902.595031738281,158.728805541992,25.6480255126953,55.4331893920898,402.083190917969,98.6509552001953,98.6509552001953,402.083190917969,11.5760164260864,49.5568351745605,450.776794433594,19.6566715240479,-3.70203256607056,23.3587036132812,0.939849376678467,12.0736904144287,1112.22497558594,28.8902111053467,0.949162662029266,0.312510520219803,17.6762599945068,0.885320007801056,4.25622272491455,-13.2288570404053,0.870692193508148,1130.27893066406,11.8772840499878,0.646028697490692,0.729011178016663,477.041656494141,0.545251488685608,-31.130069732666,3
"T1S3N1200",-41.61948,-71.40642,1188,35,42,"convex","Shrubland","no_use",6.1988787651062,11.7573881149292,0.667014598846436,886.533935546875,156.239669799805,24.7169456481934,55.3853797912598,395.259033203125,96.8238220214844,96.8238220214844,395.259033203125,11.5140390396118,49.5247421264648,449.189636230469,19.2823657989502,-3.96658611297607,23.248950958252,0.667014598846436,11.7573881149292,1216.53588867188,35.4064254760742,0.880951821804047,0.470497578382492,24.2593097686768,0.831759512424469,4.49487209320068,-15.6609401702881,0,1195.61975097656,13.0629625320435,0.629279851913452,0.753805577754974,491.559722900391,0.547129452228546,8.98017978668213,3
"T1S3N1300",-41.62027,-71.41068,1331,24,43,"irreg","Shrubland","low",5.63423490524292,11.1546106338501,0.145646810531616,862.665832519531,153.343338012695,22.9201316833496,55.6123352050781,386.267272949219,93.6325302124023,93.6325302124023,386.267272949219,11.4039850234985,49.5408630371094,446.141510009766,18.5628604888916,-4.45660638809204,23.0194683074951,0.145646810531616,11.1546106338501,1333.00769042969,37.2283058166504,0.917506158351898,0.396224409341812,24.6847610473633,0.860714256763458,5.84677982330322,-17.8694038391113,0,1319.23828125,13.8247890472412,0.681513428688049,0.720575630664825,513.652648925781,0.563131988048553,79.0521774291992,3
"T1S3N1400",-41.62194,-71.41129,1388,355,25,"flat","Subalpine forest","low",5.43819427490234,10.9450311660767,-0.0388086959719658,852.302795410156,151.375,22.4115200042725,55.4475135803223,381.287689208984,92.4233551025391,92.4233551025391,381.287689208984,11.3679504394531,49.5202865600586,445.215484619141,18.3208980560303,-4.63532400131226,22.9562225341797,-0.0388086959719658,10.9450311660767,1422.50305175781,23.2153205871582,0.951888859272003,-0.304436683654785,13.4336433410645,0.929500222206116,6.22908210754395,-10.4352464675903,12.5125150680542,1363.82409667969,13.5811815261841,0.57919842004776,0.761786282062531,499.523345947266,0.548337638378143,99.5322036743164,9
"T1S3N1500",-41.62418,-71.41199,1480,320,18,"flat","Subalpine forest","low",5.25683832168579,10.7536525726318,-0.213892757892609,842.623657226562,148.963012695312,22.1390571594238,55.0562477111816,375.737335205078,91.4334869384766,91.4334869384766,375.737335205078,11.338794708252,49.4706878662109,444.621368408203,18.1070518493652,-4.81319427490234,22.9202461242676,-0.213892757892609,10.7536525726318,1508.10693359375,20.1544647216797,0.689432084560394,-0.709353029727936,12.7927331924438,0.87488454580307,4.52863931655884,-7.22445821762085,10.3526649475098,1401.03881835938,12.5554437637329,0.363100200891495,0.822935998439789,458.113372802734,0.519580543041229,110.866821289062,9
